Lambda,Test Accuracy,Sparsity (%),Total Gates,Pruned Gates,Min,Q01,Q05,Q25,Median,Mean,Q75,Q95,Q99,Max
1e-05,55.35,50.0457,3803648,1903563,0.000355,0.000356,0.000359,0.001518,0.009965,0.078585,0.065005,0.443079,0.863950,0.973738
0.0001,55.88,88.4528,3803648,3364435,0.000187,0.000187,0.000187,0.000283,0.000898,0.005587,0.003923,0.019627,0.059347,0.996747
0.001,55.39,99.7237,3803648,3793139,0.000165,0.000166,0.000166,0.000185,0.000328,0.000842,0.000815,0.002591,0.005274,0.997262
