lambda,epoch,train_loss,classification_loss,sparsity_loss,gate_grad_norm_last_batch,test_accuracy,sparsity_pct,mean_gate,median_gate,min_gate,max_gate,gate_q01,gate_q05,gate_q25,gate_q75,gate_q95,gate_q99
1e-05,1,37.5317924284874,1.65903573267905,3587275.7621483374,0.003979234024882317,44.66,0.0,0.9318912029266357,0.930542528629303,0.9293069243431091,0.9545057415962219,0.9299627542495728,0.9300256371498108,0.9302069544792175,0.9313846230506897,0.9418835043907166,0.9492389559745789
1e-05,2,36.29398249360302,1.4396964765875542,3485428.6905370844,0.0048442925326526165,50.06,0.0,0.8979577422142029,0.8936872482299805,0.8899911642074585,0.9563525319099426,0.891322135925293,0.8915567994117737,0.8922754526138306,0.8975809812545776,0.927169144153595,0.9458354711532593
1e-05,3,34.52525450567455,1.314226778876751,3321102.8625319693,0.005618719384074211,51.36,0.0,0.8444405198097229,0.834385335445404,0.8255459070205688,0.956803560256958,0.8271172046661377,0.8277589082717896,0.8298843502998352,0.8466625213623047,0.9087190628051758,0.9424794912338257
1e-05,4,31.951864325481914,1.2111841272515105,3074068.103580563,0.0076696304604411125,53.61,0.0,0.768092155456543,0.7485291957855225,0.7210245132446289,0.9584172368049622,0.7307076454162598,0.7320800423622131,0.7371733784675598,0.7781364917755127,0.8878856301307678,0.9392422437667847
1e-05,5,28.59306370083938,1.1109695551950303,2748209.4820971866,0.008271842263638973,54.31,0.0,0.6750309467315674,0.6431515216827393,0.604020893573761,0.9590250253677368,0.6089571118354797,0.6112622022628784,0.6208778619766235,0.6985790729522705,0.8663028478622437,0.9361829161643982
1e-05,6,24.86172152175318,1.010356368616109,2385136.574808184,0.012262539938092232,54.67,0.0,0.5797675251960754,0.5349571704864502,0.4759911894798279,0.9602386951446533,0.48320963978767395,0.48625248670578003,0.5005667209625244,0.6187131404876709,0.8452569246292114,0.9333759546279907
1e-05,7,21.315610553907312,0.9144770339931674,2040113.4066496163,0.012500620447099209,55.5,0.0,0.49516141414642334,0.43887096643447876,0.3706607222557068,0.9605596661567688,0.37339165806770325,0.37670662999153137,0.3945004940032959,0.5467311143875122,0.8253406882286072,0.9307554960250854
1e-05,8,18.285724747211425,0.8112853709084299,1747443.9804987211,0.015419797971844673,55.44,0.0,0.4261545240879059,0.3607349097728729,0.284668505191803,0.9609445929527283,0.2868792414665222,0.29007792472839355,0.3097894787788391,0.48573625087738037,0.8069790601730347,0.9283280372619629
1e-05,9,15.856955669725032,0.7169445907825704,1514001.1441815856,0.018436500802636147,55.08,0.0,0.3720382750034332,0.2998739778995514,0.21999987959861755,0.9613865613937378,0.22179973125457764,0.22467350959777832,0.24523016810417175,0.4355478286743164,0.7899523973464966,0.9261382818222046
1e-05,10,13.943765759772962,0.6251489613824488,1331861.7103580562,0.022619344294071198,56.18,0.0,0.32988476753234863,0.25282585620880127,0.1692028045654297,0.9623227715492249,0.1733980029821396,0.17590729892253876,0.1966400295495987,0.3945591151714325,0.7742847800254822,0.9240545630455017
